iter	RMSE
180	43773.50426
181	43731.44153
182	43692.38597
183	43673.75823
184	43634.01275
185	43593.00838
186	43545.62437
187	43471.6551
188	43414.30199
189	43361.82969
190	43312.50417
191	43278.97195
192	43240.82583
193	43200.33597
194	43155.76382
195	43133.13921
196	43079.53377
197	43049.95351
198	43016.7862
199	42961.85022
200	42912.11287
201	42868.7124
202	42820.44994
203	42768.39882
204	42728.44142
205	42686.08255
206	42648.41718
207	42608.69715
208	42578.40675
209	42514.13743
210	42482.67509
211	42452.42622
212	42422.77113
213	42390.25175
214	42353.14479
215	42311.34803
216	42281.47912
217	42231.35493
218	42213.01679
219	42170.12192
220	42121.22498
221	42094.28915
222	42036.20888
223	42013.79068
224	41982.85516
225	41954.39487
226	41905.02213
227	41863.35065
228	41827.42132
229	41790.10554
230	41764.9135
231	41723.33917
232	41679.90986
233	41645.32173
234	41608.95225
235	41576.27379
236	41516.97431
237	41482.1532
238	41453.3777
239	41429.04006
240	41386.5522
241	41350.86571
242	41307.53736
243	41266.49494
244	41239.61618
245	41224.12622
246	41193.32246
247	41159.32414
248	41141.20409
249	41105.19618
250	41091.86801
251	41066.80698
252	41030.43036
253	40981.9082
254	40946.98016
255	40903.40004
256	40862.35086
257	40819.45929
258	40787.81995
259	40747.71497
260	40709.00997
261	40666.35758
262	40623.18098
263	40596.50797
264	40576.23598
265	40536.81668
266	40509.8347
267	40469.3721
268	40430.88613
269	40387.06741
270	40366.82286
271	40340.21872
272	40308.37702
273	40278.38385
274	40238.73692
275	40206.86826
276	40165.38856
277	40140.30345
278	40100.25715
279	40078.46938
280	40046.60142
281	40028.22451
282	40004.98889
283	39934.73439
284	39903.1957
285	39878.16805
286	39844.78729
287	39802.34405
288	39775.41128
289	39739.75151
290	39703.09477
291	39674.76259
292	39664.36145
293	39642.40139
294	39612.42169
295	39588.14407
296	39563.95987
297	39517.47952
298	39474.73543
299	39439.14869
300	39406.28095
301	39362.10886
302	39330.28996
303	39285.56163
304	39253.53981
305	39204.4108
306	39178.71527
307	39150.85916
308	39113.24448
309	39065.69843
310	39032.64425
311	38998.08808
312	38963.68314
313	38946.24712
314	38912.85801
315	38867.70117
316	38839.63546
317	38793.27317
318	38778.12281
319	38741.73082
320	38701.67192
321	38669.70421
322	38603.39764
323	38571.696
324	38533.47206
325	38492.80188
326	38473.17312
327	38435.52738
328	38411.19794
329	38370.96096
330	38336.41032
331	38308.67786
332	38267.8457
333	38238.39996
334	38205.65858
335	38180.77473
336	38138.75497
337	38109.30113
338	38086.73218
339	38048.51192
340	38023.05678
341	37991.41351
342	37953.10823
343	37931.27289
344	37894.24995
345	37860.12453
346	37826.37697
347	37793.8674
348	37763.934
349	37728.73728
350	37693.11474
351	37663.7118
352	37639.94575
353	37606.56343
354	37573.71225
355	37541.98828
356	37505.74694
357	37478.68695
358	37434.13099
359	37400.992
360	37370.88323
361	37341.51407
362	37305.47729
363	37262.6211
364	37244.45557
365	37225.01684
366	37198.15625
367	37167.60211
368	37146.63937
369	37119.73999
370	37086.35084
371	37055.37014
372	37030.52515
373	36996.09732
374	36973.63067
375	36947.06182
376	36915.09687
377	36897.27009
378	36870.53276
379	36845.4384
380	36813.83815
381	36789.48746
382	36750.73214
383	36738.60163
384	36721.55061
385	36697.80659
386	36673.82719
387	36646.6531
388	36626.09407
389	36599.24491
390	36568.44509
391	36539.02946
392	36516.10667
393	36492.72255
394	36457.69448
395	36434.15339
396	36400.65462
397	36372.74395
398	36350.70998
399	36310.7765
400	36282.60183
401	36264.60177
402	36244.98419
403	36219.76853
404	36188.21642
405	36160.81276
406	36136.00985
407	36112.85324
408	36087.4632
409	36068.6454
410	36043.69066
411	36010.49313
412	35971.20191
413	35950.02139
414	35916.77401
415	35893.87004
416	35851.8062
417	35830.01888
418	35794.98226
419	35768.95384
420	35740.22983
421	35711.05133
422	35689.52679
423	35658.59005
424	35627.04508
425	35599.70981
426	35584.05236
427	35563.07308
428	35538.82912
429	35521.91004
430	35492.75036
431	35455.33108
432	35435.34547
433	35412.06896
434	35392.21764
435	35361.72461
436	35335.33401
437	35310.42435
438	35283.70238
439	35261.18449
440	35246.46919
441	35215.59506
442	35193.22548
443	35169.20859
444	35141.91596
445	35112.25474
446	35099.02688
447	35071.99243
448	35051.12745
449	35031.33909
450	35006.38497
451	34987.22589
452	34951.36122
453	34932.16358
454	34908.18011
455	34895.57456
456	34860.20573
457	34848.28778
458	34825.7625
459	34783.31564
460	34770.53055
461	34748.94649
462	34732.79849
463	34709.15923
464	34666.66024
465	34642.0967
466	34619.25318
467	34590.73331
468	34567.06365
469	34544.57064
470	34525.74579
471	34512.28002
472	34488.66854
473	34471.30043
474	34442.33335
475	34423.74286
476	34390.82554
477	34368.51894
478	34353.17482
479	34321.74843
480	34297.44175
481	34269.54004
482	34248.23788
483	34237.29583
484	34218.94851
485	34200.85329
486	34180.6612
487	34161.46782
488	34137.02796
489	34121.43751
490	34095.87924
491	34072.33155
492	34045.09922
493	34026.25735
494	34010.41089
495	33986.30779
496	33964.21094
497	33941.29552
498	33920.41313
499	33897.211
500	33882.68564
501	33860.1888
502	33843.65952
503	33826.81294
504	33779.84942
505	33756.60573
506	33734.16486
507	33716.17502
508	33687.67539
509	33661.76647
510	33632.92196
511	33601.76189
512	33583.34225
513	33567.09215
514	33550.20211
515	33529.47321
516	33498.02528
517	33477.82535
518	33450.9935
519	33425.35875
520	33405.22258
521	33384.57027
522	33361.2932
523	33338.66942
524	33311.76727
525	33295.98402
526	33275.19302
527	33255.98401
528	33233.99702
529	33216.86796
530	33196.81139
531	33172.59423
532	33156.20789
533	33145.8143
534	33122.91879
535	33102.39618
536	33081.94212
537	33046.33493
538	33027.56716
539	33010.22364
540	32979.82145
541	32958.5047
542	32943.45751
543	32921.33266
544	32902.21819
545	32881.65748
546	32863.0713
547	32843.59733
548	32817.27684
549	32801.33421
550	32776.56497
551	32753.85169
552	32733.95533
553	32716.24536
554	32692.77607
555	32678.49886
556	32664.37588
557	32642.32927
558	32615.65608
559	32594.25733
560	32574.49256
561	32550.86411
562	32530.76436
563	32509.13799
564	32487.93552
565	32465.88643
566	32450.43233
567	32421.68174
568	32403.84014
569	32388.20808
570	32355.12633
571	32334.99073
572	32307.7114
573	32285.5074
574	32268.94408
575	32249.08671
576	32230.58179
577	32204.97528
578	32185.01189
579	32169.57122
580	32146.57062
581	32128.42324
582	32109.02099
583	32088.82532
584	32071.65632
585	32053.49826
586	32040.55011
587	32028.35623
588	32014.65155
589	32000.80298
590	31984.9637
591	31972.78667
592	31948.56636
593	31934.19291
594	31907.60245
595	31884.46418
596	31868.24176
597	31852.7264
598	31830.89165
599	31807.75246
600	31786.716
601	31767.70215
602	31752.07852
603	31734.84719
604	31716.85596
605	31696.7492
606	31679.6097
607	31650.67862
608	31626.19871
609	31608.72146
610	31592.52043
611	31577.90234
612	31564.79438
613	31546.0805
614	31528.13654
615	31514.34504
616	31500.70567
617	31480.83319
618	31456.69011
619	31437.25218
620	31423.68016
621	31401.26067
622	31379.6683
623	31360.60628
624	31335.93526
625	31318.43162
626	31299.91395
627	31280.75464
628	31262.77162
629	31239.57254
630	31216.35802
631	31191.20667
632	31174.84762
633	31145.97379
634	31122.81196
635	31099.622
636	31075.17265
637	31058.30796
638	31049.30869
639	31038.21172
640	31017.39634
641	30975.80513
642	30954.81641
643	30936.66438
644	30920.07888
645	30908.25586
646	30890.33292
647	30876.22179
648	30857.93491
649	30834.51867
650	30817.32124
651	30796.32894
652	30773.10858
653	30758.39648
654	30730.99171
655	30708.27638
656	30684.09271
657	30659.22459
658	30644.20412
659	30629.42782
660	30611.885
661	30601.9197
662	30585.94209
663	30564.61742
664	30547.31789
665	30523.37721
666	30502.52564
667	30485.63924
668	30471.45996
669	30447.01333
670	30429.67993
671	30415.07346
672	30395.76763
673	30381.51085
674	30366.83594
675	30355.3539
676	30345.17254
677	30325.3717
678	30308.08384
679	30298.59041
680	30279.33577
681	30268.26883
682	30253.36387
683	30231.02462
684	30212.22666
685	30197.72044
686	30176.52592
687	30161.23808
688	30137.65749
689	30118.9904
690	30098.16986
691	30074.51694
692	30053.85695
693	30040.88116
694	30027.02258
695	30015.54488
696	30003.06626
697	29985.90545
698	29971.98929
699	29943.34269
700	29923.09911
701	29903.11289
702	29888.59622
703	29864.33833
704	29852.62619
705	29837.70462
706	29820.17009
707	29805.48125
708	29787.40882
709	29765.89858
710	29753.65864
711	29743.35659
712	29721.54977
713	29700.0633
714	29674.20355
715	29652.16197
716	29626.38749
717	29613.14903
718	29590.27478
719	29580.15451
720	29559.19764
721	29546.66013
722	29530.47492
723	29519.76588
724	29498.81708
725	29477.04217
726	29460.41636
727	29450.15177
728	29426.35052
729	29408.78175
730	29389.26259
731	29373.57577
732	29358.97681
733	29341.78514
734	29320.69504
735	29303.21056
736	29286.3966
737	29263.60703
738	29240.63635
739	29222.59545
740	29205.05972
741	29188.03541
742	29166.75383
743	29150.57734
744	29132.75766
745	29124.70175
746	29113.94355
747	29097.20106
748	29084.82808
749	29075.81939
750	29058.83139
751	29039.58542
752	29019.11988
753	29010.60948
754	28991.64607
755	28970.94877
756	28950.04778
757	28933.35281
758	28918.60878
759	28892.9854
760	28875.17259
761	28861.25499
762	28846.68029
763	28834.90251
764	28820.82957
765	28802.50739
766	28786.65073
767	28773.00741
768	28749.99816
769	28735.31186
770	28722.76179
771	28706.94919
772	28683.23563
773	28670.83568
774	28649.85867
775	28640.51765
776	28622.97496
777	28600.04112
778	28588.89323
779	28579.0471
780	28561.81878
781	28540.34641
782	28520.16239
783	28512.80644
784	28501.94155
785	28490.78839
786	28481.48939
787	28464.96268
788	28450.27155
789	28435.84655
790	28421.34195
791	28399.88685
792	28377.93912
793	28363.21697
794	28349.02055
795	28334.54821
796	28311.35835
797	28294.48347
798	28279.98615
799	28267.42969
